imgnetid,wnid,word,gloss
988,n12267677,acorn,fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base
989,n12620546,"hip, rose hip, rosehip",the fruit of a rose plant
990,n12768682,"buckeye, horse chestnut, conker",the inedible nutlike seed of the horse chestnut
991,n12985857,coral fungus,any of numerous fungi of the family Clavariaceae often brightly colored that grow in often intricately branched clusters like coral
992,n12998815,agaric,a saprophytic fungus of the order Agaricales having an umbrellalike cap with gills on the underside
993,n13037406,gyromitra,any fungus of the genus Gyromitra
994,n13040303,"stinkhorn, carrion fungus","any of various ill-smelling brown-capped fungi of the order Phallales; ""the foul smell of the stinkhorn attracts insects that carry the spores away on their feet"""
995,n13044778,earthstar,any fungus of the family Geastraceae; in form suggesting a puffball whose outer peridium splits into the shape of a star
996,n13052670,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",large greyish-brown edible fungus forming a mass of overlapping caps that somewhat resembles a hen at the base of trees
997,n13054560,bolete,any fungus of the family Boletaceae
998,n13133613,"ear, spike, capitulum",fruiting spike of a cereal plant especially corn
999,n15075141,"toilet tissue, toilet paper, bathroom tissue",a soft thin absorbent paper for use in toilets
